H,density,source_planner,eval_planner,metric,value
20,0.2,bfs,bfs,cose_sufficiency,1.0
20,0.2,bfs,dijkstra,cose_sufficiency,1.0
20,0.2,bfs,astar,cose_sufficiency,1.0
20,0.2,dijkstra,bfs,cose_sufficiency,1.0
20,0.2,dijkstra,dijkstra,cose_sufficiency,1.0
20,0.2,dijkstra,astar,cose_sufficiency,1.0
20,0.2,astar,bfs,cose_sufficiency,1.0
20,0.2,astar,dijkstra,cose_sufficiency,1.0
20,0.2,astar,astar,cose_sufficiency,1.0
20,0.28,bfs,bfs,cose_sufficiency,1.0
20,0.28,bfs,dijkstra,cose_sufficiency,1.0
20,0.28,bfs,astar,cose_sufficiency,1.0
20,0.28,dijkstra,bfs,cose_sufficiency,1.0
20,0.28,dijkstra,dijkstra,cose_sufficiency,1.0
20,0.28,dijkstra,astar,cose_sufficiency,0.0
20,0.28,astar,bfs,cose_sufficiency,1.0
20,0.28,astar,dijkstra,cose_sufficiency,1.0
20,0.28,astar,astar,cose_sufficiency,1.0
20,0.28,bfs,bfs,cose_sufficiency,0.0
20,0.28,bfs,dijkstra,cose_sufficiency,0.0
20,0.28,bfs,astar,cose_sufficiency,0.0
20,0.28,dijkstra,bfs,cose_sufficiency,1.0
20,0.28,dijkstra,dijkstra,cose_sufficiency,1.0
20,0.28,dijkstra,astar,cose_sufficiency,1.0
20,0.28,astar,bfs,cose_sufficiency,1.0
20,0.28,astar,dijkstra,cose_sufficiency,0.0
20,0.28,astar,astar,cose_sufficiency,1.0
20,0.28,bfs,bfs,cose_sufficiency,1.0
20,0.28,bfs,dijkstra,cose_sufficiency,0.0
20,0.28,bfs,astar,cose_sufficiency,0.0
20,0.28,dijkstra,bfs,cose_sufficiency,1.0
20,0.28,dijkstra,dijkstra,cose_sufficiency,0.0
20,0.28,dijkstra,astar,cose_sufficiency,1.0
20,0.28,astar,bfs,cose_sufficiency,1.0
20,0.28,astar,dijkstra,cose_sufficiency,0.0
20,0.28,astar,astar,cose_sufficiency,0.0
20,0.28,bfs,bfs,cose_sufficiency,1.0
20,0.28,bfs,dijkstra,cose_sufficiency,1.0
20,0.28,bfs,astar,cose_sufficiency,0.0
20,0.28,dijkstra,bfs,cose_sufficiency,1.0
20,0.28,dijkstra,dijkstra,cose_sufficiency,1.0
20,0.28,dijkstra,astar,cose_sufficiency,1.0
20,0.28,astar,bfs,cose_sufficiency,1.0
